"ADV-Text1","Erreger","NRL"
"Salmonella II 58:z10:1,6","Salmonella II","NRL-Salm"
"Salmonella II 58:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 58:z39:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 58:z6:1,6","Salmonella II","NRL-Salm"
"Salmonella II 59:k:z","Salmonella II","NRL-Salm"
"Salmonella II 6,14,24:k:1,6","Salmonella II","NRL-Salm"
"Salmonella II 6,14:b:e,n,x,z15","Salmonella II","NRL-Salm"
"Salmonella II 6,14:k:1,6","Salmonella II","NRL-Salm"
"Salmonella II 6,14:k:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,14:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,7,14:a:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,7:g,m,[s],t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,7:-:1,6","Salmonella II","NRL-Salm"
"Salmonella II 6,7:a:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:a:z6","Salmonella II","NRL-Salm"
"Salmonella II 6,7:b:[e,n,x]:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:b:z39","Salmonella II","NRL-Salm"
"Salmonella II 6,7:d:1,7","Salmonella II","NRL-Salm"
"Salmonella II 6,7:d:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:g,m,[s],t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,7:g,m,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:g,s,t:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:g,t:e,n,x:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:k:[z6]","Salmonella II","NRL-Salm"
"Salmonella II 6,7:l,w:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 6,7:l,w:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:l,z28:1,5:[z42]","Salmonella II","NRL-Salm"
"Salmonella II 6,7:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,7:l,z28:z6","Salmonella II","NRL-Salm"
"Salmonella II 6,7:m,t:-","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z:z6","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z10:z35*","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z29:-","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z29:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z36:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z39:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z4,z24:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z42:1,7","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z42:e,n,x:1,6","Salmonella II","NRL-Salm"
"Salmonella II 6,7:z6:1,7","Salmonella II","NRL-Salm"
"Salmonella II 6,8:-:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 6,8:[f],g,m,t:[e,n,x]","Salmonella II","NRL-Salm"
"Salmonella II 6,8:a:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,8:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 6,8:a:z52","Salmonella II","NRL-Salm"
"Salmonella II 6,8:b:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,8:d:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,8:g,m,t:1,7","Salmonella II","NRL-Salm"
"Salmonella II 6,8:l,v:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,8:l,w:z6:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,8:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,8:m,t:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,8:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 6,8:y:1,6:z42","Salmonella II","NRL-Salm"
"Salmonella II 6,8:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,8:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 6,8:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 60:b:-","Salmonella II","NRL-Salm"
"Salmonella II 60:g,m,t:z6","Salmonella II","NRL-Salm"
"Salmonella II 60:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 60:z29:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 65:f,g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 65:-:1,6","Salmonella II","NRL-Salm"
"Salmonella II 8:z29:e,n,x:z42","Salmonella II","NRL-Salm"
"Salmonella II 9,12,46,27:g,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,12:a:1,5","Salmonella II","NRL-Salm"
"Salmonella II 9,12:a:z39","Salmonella II","NRL-Salm"
"Salmonella II 9,12:d:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,12:d:z39","Salmonella II","NRL-Salm"
"Salmonella II 9,12:e,n,x:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 9,12:e,n,x:1,6","Salmonella II","NRL-Salm"
"Salmonella II 9,12:e,n,x:1,7","Salmonella II","NRL-Salm"
"Salmonella II 9,12:g,m,s,t:1,7","Salmonella II","NRL-Salm"
"Salmonella II 9,12:g,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,12:l,v:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,12:l,v:z39","Salmonella II","NRL-Salm"
"Salmonella II 9,12:l,z28:1,5:[z42]","Salmonella II","NRL-Salm"
"Salmonella II 9,12:l,z28:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,12:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,12:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 9,12:z29:1,5","Salmonella II","NRL-Salm"
"Salmonella II 9,12:z42:1,[5],7","Salmonella II","NRL-Salm"
"Salmonella II 9,46:b:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,46:e,n,x:1,5,7","Salmonella II","NRL-Salm"
"Salmonella II 9,46:g,m,s,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,46:g,t:-","Salmonella II","NRL-Salm"
"Salmonella II 9,46:g,z62:-","Salmonella II","NRL-Salm"
"Salmonella II 9,46:m,t:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z:1,5","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z:e,n,x","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z:z39","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z10:z39","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z10:z6","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z39:1,7","Salmonella II","NRL-Salm"
"Salmonella II 9,46:z4,z24:z39:z42","Salmonella II","NRL-Salm"
"Salmonella II-Form","Salmonella II-Form","NRL-Salm"
"Salmonella IIIa","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 1,13,23:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 1,13,23:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 11:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 13,22:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 13,23:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 13,23:z4,z23:- h:32-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 17:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 17:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 17:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 17:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 17:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 17:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 18:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 18:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 18:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 21:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 21:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 21:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 21:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 35:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 35:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 35:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 35:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 35:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 38:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 40:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 40:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 40:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 40:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 40:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 41:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 42:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 42:r:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 42:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 42:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 43:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 43:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 43:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 43:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 44:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 44:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 44:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 44:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 45:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 45:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 45:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 45:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 45:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 47:b:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 47:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 47:r:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 47:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 47:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 48:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 48:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 48:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 48:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 48:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 48:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 50:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 50:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 50:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 50:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 50:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 50:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 51:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 51:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 51:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 51:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 53:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 53:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 53:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 53:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 53:z4,z24:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 56:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 56:z4,z23,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 56:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 59:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 59:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 59:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 62:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 62:z29:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 62:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 62:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 62:z4,z32:.-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 63:g,z51:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 63:z36:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 63:z4,z23:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIa 63:z4,z32:-","Salmonella IIIa","NRL-Salm"
"Salmonella IIIb 6,14:b:e,n,x","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:z10:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:z52:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 1,40:z39:1,6","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 1,6,14,25:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 11:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 11:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 11:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 13,22:-:-","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 13,22:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:l,v:z:[z61]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:z10:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 16:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 17:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:k:z54","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 18:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:c:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:i:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:l,v:z57","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:z10:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 21:z65:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 28:z10:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 28:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:(k):z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:i:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:l,v:z35:-","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:l,v:z35:z67","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:r:z61","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:z52:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:z52:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 35:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:(k):z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:z54","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:z55","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:i:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:l,v:z53:[z54]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:l,v:z54","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:r:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:r:z:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z10:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z47:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z53:z61","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 38:z61:-","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:g,z51:[e,n,x,z15]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:i:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:k:z:z57","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 40:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 41:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 41:c:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:k:z35:z60","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:k:-","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:r:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:z10:z67","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 42:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:l,v:-","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:l,v:z56","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:r:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 43:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:c:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:c:e,n,x,z15:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:c:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:c:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:i:z53:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:k:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:l,v:z57","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:r:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:r:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:r:z53:z60","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:z10:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:z52:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:z52:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 47:z52:z","Salmonella IIIb","NRL-Salm"
